,City,Country,Longitude,Latitude,Max. Temperature (C),Humidity (%),Wind Speed (m/s),Cloudiness (%)
430,Okitipupa,NG,4.78,6.5,24.34,94,0.06,100
431,Vignola,IT,11.01,44.48,7.0,93,0.5,75
432,Flinders,AU,150.85,-34.58,22.0,37,4.6,40
433,Nicoya,CR,-85.45,10.15,26.0,78,3.1,40
434,La Ronge,CA,-105.3,55.1,-13.0,60,5.7,90
435,Boyolangu,ID,111.9,-8.09,33.14,46,5.27,29
436,Beloha,MG,45.06,-25.17,24.44,59,4.76,89
437,Kattivakkam,IN,80.32,13.22,32.0,59,2.6,20
438,Airai,TL,125.41,-8.93,29.01,39,3.99,80
439,Ouadda,CF,22.4,8.07,22.69,48,2.36,23
440,Nyurba,RU,118.35,63.29,-14.76,83,3.66,99
441,High Level,CA,-117.13,58.52,-25.0,75,1.43,1
442,Effingham,US,-88.54,39.12,7.0,60,1.5,1
443,Tefe,BR,-64.71,-3.35,24.22,84,0.2,60
444,Mildura,AU,142.16,-34.18,25.56,22,4.1,0
445,Senaki,GE,42.06,42.27,19.0,37,8.2,0
446,Kungalv,SE,11.98,57.87,2.78,89,5.1,90
447,Sao Felix do Xingu,BR,-51.99,-6.64,22.4,98,0.48,100
448,Presidente Medici,BR,-61.9,-11.18,22.61,93,1.22,75
449,Cartagena,ES,-1.0,37.63,16.0,51,8.2,84
450,Casian,RO,28.48,44.5,16.11,100,4.1,58
451,Shadrinsk,RU,63.63,56.09,-5.43,75,2.96,36
452,Oranjemund,ZA,16.43,-28.55,16.5,78,1.86,97
453,Novoagansk,RU,76.66,61.94,-14.85,92,2.05,100
454,Tezu,IN,96.16,27.93,20.61,77,0.83,100
455,Piterka,RU,47.44,50.68,3.45,74,4.85,0
456,Leningradskiy,RU,178.42,69.38,-7.83,58,1.68,7
457,Sao Gabriel,BR,-54.32,-30.34,18.59,92,4.46,76
458,Kampong Thum,KH,104.89,12.71,28.61,62,3.76,71
459,Shimanovsk,RU,127.67,52.0,-5.67,87,3.78,100
460,Opuwo,NA,13.84,-18.06,22.31,25,4.49,100
461,Vanavara,RU,102.28,60.35,-21.63,89,3.9,100
462,Hobyo,SO,48.53,5.35,28.35,60,6.13,8
463,Muret,FR,1.33,43.46,7.22,81,5.1,90
464,Goderich,CA,-81.71,43.74,5.56,80,5.36,83
465,Atasu,KZ,71.64,48.68,-2.6,79,10.37,99
466,Nanaimo,CA,-123.94,49.17,10.56,93,1.0,90
467,Kieta,PG,155.63,-6.22,28.41,69,2.16,61
468,Hannibal,US,-91.36,39.71,9.44,65,3.6,1
469,Nivala,FI,24.96,63.93,-5.0,94,3.23,100
470,San Carlos,NI,-84.78,11.12,23.33,1,6.71,100
471,Waipawa,NZ,176.59,-39.94,18.33,87,4.39,100
472,Salcedo,DO,-70.42,19.38,26.11,94,0.97,75
473,Oxbow,CA,-102.17,49.23,-10.0,72,6.2,90
474,Kiama,AU,150.86,-34.67,22.0,37,4.6,40
475,Marrakesh,MA,-7.99,31.63,8.0,70,2.1,0
476,Iskateley,RU,53.15,67.68,-14.45,92,3.91,50
477,Porto Nacional,BR,-48.41,-10.7,23.0,100,1.5,44
478,Joshimath,IN,79.57,30.57,13.18,21,2.79,0
479,Pokhara,NP,83.99,28.21,27.27,46,0.84,0
480,Matagami,NG,8.4,9.67,22.59,53,2.07,100
481,Sorong,ID,131.25,-0.86,28.01,86,2.24,70
482,Lata,IN,78.62,30.78,2.93,20,3.74,0
483,Komsomolskiy,RU,63.78,67.55,-21.15,100,2.1,51
484,San Patricio,PY,-56.83,-26.98,21.75,98,2.12,100
485,Mitsamiouli,KM,43.28,-11.38,32.0,52,5.7,20
486,Richards Bay,ZA,32.06,-28.77,21.19,78,8.57,61
487,Porto Velho,BR,-63.87,-8.75,24.0,94,1.5,75
488,Henties Bay,NA,14.28,-22.12,13.89,95,1.34,0
489,Sembakung,ID,117.25,3.82,33.21,51,3.05,41
490,Skjervoy,NO,20.97,70.03,-2.03,50,3.43,0
491,Vagamo,NO,9.1,61.88,-13.91,91,1.23,94
492,Fillmore,US,-118.91,34.4,22.0,76,3.67,1
493,Zhigalovo,RU,105.15,54.81,-10.29,70,4.8,100
494,Oxford,US,-85.83,33.61,5.56,100,0.81,1
495,Cap Malheureux,MU,57.61,-19.98,27.0,65,4.6,75
496,Qitaihe,CN,131.01,45.77,5.01,49,1.98,94
497,Nelson Bay,AU,152.14,-32.72,22.22,43,6.7,17
498,Wasilla,US,-149.44,61.58,2.78,52,3.1,75
499,Saint-Leu,RE,55.28,-21.15,28.0,65,3.6,100
500,Tura,RU,100.22,64.27,-25.44,88,1.83,77
501,Luganville,VU,167.18,-15.51,28.0,74,1.5,75
502,Karatau,KZ,70.46,43.18,9.63,32,10.84,85
503,Upington,ZA,21.24,-28.46,21.0,26,1.5,6
504,Shangqiu,CN,115.65,34.42,22.78,25,7.98,0
505,Kavieng,PG,150.8,-2.57,26.27,81,1.89,100
506,Kathmandu,NP,85.32,27.71,21.0,64,1.0,20
507,Biak,ID,122.88,-0.91,25.38,85,6.64,94
508,Burnie,AU,145.91,-41.05,17.22,53,4.47,100
509,Valle de Allende,MX,-105.39,26.94,14.14,89,3.63,88
510,Prince Rupert,CA,-130.32,54.32,10.0,87,4.6,90
511,Korhogo,CI,-5.63,9.46,23.08,77,1.21,0
512,Krasnyy Chikoy,RU,108.75,50.36,-5.7,64,4.93,100
513,Neuquen,AR,-68.06,-38.95,15.0,38,5.1,79
514,Buchmany,UA,28.04,51.07,9.88,97,3.29,99
515,Ayagoz,KZ,80.43,47.96,3.18,67,3.22,100
516,Vila Velha,BR,-38.6,-3.71,30.0,69,7.2,40
517,Katsuura,JP,134.5,33.93,16.0,51,3.6,75
518,Alegre,BR,-41.53,-20.76,19.68,97,1.35,94
519,Seoul,KR,126.98,37.57,15.0,44,1.5,20
520,Zhigansk,RU,123.37,66.77,-15.21,93,5.29,100
521,Shumyachi,RU,32.43,53.86,10.02,94,5.77,100
522,Port Moresby,PG,147.16,-9.47,28.0,78,5.1,40
523,Horizontina,BR,-54.31,-27.63,18.89,97,0.34,100
524,Margate,AU,147.26,-43.03,16.0,44,5.7,75
525,Sudak,UA,34.97,44.85,15.56,50,1.29,0
526,At-Bashi,KG,75.81,41.17,-4.2,35,0.87,1
527,Imeni Poliny Osipenko,RU,136.49,52.42,-4.52,37,4.17,16
528,Chiang Khong,LA,100.41,20.27,28.89,69,1.5,40
529,Salto,BR,-47.29,-23.2,24.44,83,5.7,100
530,Male,UA,33.7,50.74,9.13,91,5.62,74
531,Hami,CN,93.51,42.84,9.26,18,1.34,0
532,Manado,ID,124.85,1.49,30.0,62,1.5,20
533,Havelock,US,-76.9,34.88,7.0,93,1.39,90
534,Tulun,RU,100.58,54.56,-8.02,56,5.63,41
535,Marshall,US,-93.2,39.12,12.22,76,5.1,1
536,Biltine,TD,20.93,14.53,26.17,16,6.77,99
537,Saint-Augustin,CA,-73.98,45.63,2.78,59,5.1,90
538,Mizdah,LY,12.98,31.45,9.82,82,0.34,0
539,Yarada,IN,83.27,17.65,32.0,49,2.1,20
540,Dudinka,RU,86.18,69.41,-27.0,75,2.0,40
541,Concarneau,FR,-3.92,47.88,8.89,75,7.7,75
542,Alexandria,RO,25.33,43.97,13.89,76,0.45,40
543,Tambovka,RU,47.38,47.32,9.14,74,7.38,56
544,Campina Verde,BR,-49.49,-19.54,22.29,85,2.0,100
545,Bara,NG,10.6,10.41,25.58,42,1.27,100
546,Inuvik,CA,-133.71,68.36,-12.0,46,1.0,5
547,Ghanzi,BW,21.65,-21.7,25.97,42,4.59,89
548,Markivka,UA,39.57,49.52,7.01,89,5.29,69
549,Bonthe,SL,-12.5,7.53,25.36,84,1.13,38
550,Ancud,CL,-73.83,-41.87,9.0,100,0.5,74
551,Watsa,CD,29.53,3.04,22.33,85,1.16,48
552,Sanming,CN,117.6,26.24,20.45,39,1.83,65
553,Nishihara,JP,139.53,35.74,20.0,45,1.0,20
554,Lucapa,AO,20.74,-8.42,21.8,93,0.52,100
555,Rjukan,NO,8.59,59.88,-9.44,95,2.68,80
556,Kaduna,NG,7.44,10.52,22.66,42,1.1,100
557,Batagay-Alyta,RU,130.41,67.8,-26.73,79,1.8,29
558,Mackenzie,CA,-123.09,55.34,-12.0,60,2.1,90
559,Port Hueneme,US,-119.2,34.15,22.0,93,3.6,20
